Entity,Code,Day,Average surface temperature
United States,USA,2019-05-15,14.192135
United States,USA,2019-06-15,19.624065
United States,USA,2019-07-15,22.812262
United States,USA,2019-08-15,21.699303
United States,USA,2019-09-15,18.599184
United States,USA,2019-10-15,9.468817
United States,USA,2019-11-15,3.0085816
United States,USA,2019-12-15,-0.36916402
United States,USA,2020-01-15,-1.7636682
United States,USA,2020-02-15,-0.8965415
United States,USA,2020-03-15,4.787855
United States,USA,2020-04-15,8.6912365
United States,USA,2020-05-15,14.967557
United States,USA,2020-06-15,20.20941
United States,USA,2020-07-15,22.808058
United States,USA,2020-08-15,22.287207
United States,USA,2020-09-15,17.145977
United States,USA,2020-10-15,10.388611
United States,USA,2020-11-15,5.0629487
United States,USA,2020-12-15,-0.41147608
United States,USA,2021-01-15,-0.9636785
United States,USA,2021-02-15,-3.6209807
United States,USA,2021-03-15,4.219833
United States,USA,2021-04-15,8.859586
United States,USA,2021-05-15,14.416773
United States,USA,2021-06-15,21.323225
United States,USA,2021-07-15,22.683842
United States,USA,2021-08-15,21.578009
United States,USA,2021-09-15,17.846388
United States,USA,2021-10-15,11.455544
United States,USA,2021-11-15,3.639175
United States,USA,2021-12-15,1.1913205
United States,USA,2022-01-15,-3.3727252
United States,USA,2022-02-15,-1.6219887
United States,USA,2022-03-15,4.2809362
United States,USA,2022-04-15,8.488442
United States,USA,2022-05-15,15.128978
United States,USA,2022-06-15,20.608007
United States,USA,2022-07-15,23.184889
United States,USA,2022-08-15,21.801897
United States,USA,2022-09-15,18.170912
United States,USA,2022-10-15,10.723488
United States,USA,2022-11-15,2.6808946
United States,USA,2022-12-15,-1.6682689
United States,USA,2023-01-15,-0.5443969
United States,USA,2023-02-15,-0.4384129
United States,USA,2023-03-15,2.3750653
United States,USA,2023-04-15,7.91962
United States,USA,2023-05-15,15.296378
United States,USA,2023-06-15,19.386423
United States,USA,2023-07-15,23.168596
United States,USA,2023-08-15,22.189846
United States,USA,2023-09-15,17.964678
United States,USA,2023-10-15,11.079592
United States,USA,2023-11-15,4.680232
